case_id,customer_id,signal_id,incident_type,received_at,priority_score_assigned,matched_responder_profession,response_time_minutes,outcome,escalation_required
CASE-0001319,CUST-003051,SIG-0003051,chemical_spill,2025-03-11T03:19:00-06:00,79,search_and_rescue,114,transported_to_shelter,true
CASE-0001320,CUST-004199,SIG-0004199,wildfire_smoke,2025-06-09T18:44:00-06:00,100,paramedic,10,transported_to_shelter,true
CASE-0001321,CUST-001416,SIG-0001416,wildfire_smoke,2025-01-09T12:31:00-06:00,67,paramedic,137,referred_to_social_services,true
CASE-0001322,CUST-002846,SIG-0002846,flood,2025-01-23T22:24:00-06:00,41,ASL_interpreter,67,resolved_on_scene,false
CASE-0001323,CUST-002559,SIG-0002559,power_outage,2025-02-15T11:02:00-06:00,86,nurse,98,transported_to_shelter,true
CASE-0001324,CUST-003782,SIG-0003782,wildfire_smoke,2025-02-19T22:34:00-06:00,73,ASL_interpreter,123,resolved_on_scene,true
CASE-0001325,CUST-001754,SIG-0001754,extreme_heat,2025-06-23T22:12:00-06:00,63,ASL_interpreter,127,transported_to_hospital,false
CASE-0001326,CUST-003052,SIG-0003052,tornado_damage,2025-02-22T22:33:00-06:00,67,nurse,171,unable_to_reach_first_attempt,false
CASE-0001327,CUST-003025,SIG-0003025,flood,2025-12-18T06:50:00-06:00,53,evacuation_driver,67,transported_to_hospital,false
CASE-0001328,CUST-003991,SIG-0003991,power_outage,2025-10-07T21:24:00-06:00,100,utility_technician,120,transported_to_hospital,true
CASE-0001329,CUST-000782,SIG-0000782,extreme_heat,2025-09-20T05:42:00-06:00,89,paramedic,95,resolved_on_scene,true
CASE-0001330,CUST-003510,SIG-0003510,winter_storm,2025-10-22T20:36:00-06:00,100,paramedic,57,resolved_on_scene,true
CASE-0001331,CUST-003054,SIG-0003054,winter_storm,2025-06-16T22:02:00-06:00,100,EMT,113,unable_to_reach_first_attempt,true
CASE-0001332,CUST-003428,SIG-0003428,tornado_damage,2025-06-10T04:17:00-06:00,66,firefighter,56,transported_to_shelter,false
CASE-0001333,CUST-000770,SIG-0000770,flood,2025-01-25T08:54:00-06:00,65,EMT,161,transported_to_shelter,true
CASE-0001334,CUST-001903,SIG-0001903,flood,2025-02-12T03:11:00-06:00,100,evacuation_driver,51,referred_to_social_services,true
CASE-0001335,CUST-002839,SIG-0002839,winter_storm,2025-07-11T02:58:00-06:00,100,physician,144,unable_to_reach_first_attempt,true
CASE-0001336,CUST-004431,SIG-0004431,extreme_heat,2025-01-16T13:41:00-06:00,81,social_worker,30,referred_to_social_services,false
CASE-0001337,CUST-000945,SIG-0000945,winter_storm,2025-04-09T08:57:00-06:00,68,paramedic,135,unable_to_reach_first_attempt,true
CASE-0001338,CUST-004812,SIG-0004812,tornado_damage,2025-08-11T11:34:00-06:00,100,evacuation_driver,76,transported_to_shelter,true
CASE-0001339,CUST-003976,SIG-0003976,wildfire_smoke,2025-08-07T09:46:00-06:00,84,social_worker,61,unable_to_reach_first_attempt,true
CASE-0001340,CUST-004616,SIG-0004616,chemical_spill,2025-11-05T01:51:00-06:00,98,firefighter,15,transported_to_shelter,true
CASE-0001341,CUST-000084,SIG-0000084,winter_storm,2025-09-08T01:58:00-06:00,100,EMT,135,referred_to_social_services,true
CASE-0001342,CUST-000058,SIG-0000058,extreme_heat,2025-12-15T15:31:00-06:00,60,nurse,145,unable_to_reach_first_attempt,false
CASE-0001343,CUST-000622,SIG-0000622,flood,2025-03-14T18:39:00-06:00,56,evacuation_driver,142,resolved_on_scene,false
CASE-0001344,CUST-003787,SIG-0003787,winter_storm,2025-04-18T19:43:00-06:00,100,physician,45,referred_to_social_services,true
CASE-0001345,CUST-003158,SIG-0003158,flood,2025-09-02T13:10:00-06:00,100,firefighter,150,resolved_on_scene,true
CASE-0001346,CUST-000048,SIG-0000048,tornado_damage,2025-03-12T22:15:00-06:00,93,firefighter,64,resolved_on_scene,true
CASE-0001347,CUST-000974,SIG-0000974,power_outage,2025-08-28T16:45:00-06:00,82,physician,94,referred_to_social_services,true
CASE-0001348,CUST-001444,SIG-0001444,power_outage,2025-03-06T05:28:00-06:00,74,physician,23,resolved_on_scene,true
CASE-0001349,CUST-001544,SIG-0001544,tornado_damage,2025-09-24T22:18:00-06:00,100,EMT,59,resolved_on_scene,true
CASE-0001350,CUST-003255,SIG-0003255,chemical_spill,2025-08-11T17:18:00-06:00,62,paramedic,142,referred_to_social_services,false
CASE-0001351,CUST-001908,SIG-0001908,tornado_damage,2025-08-05T04:45:00-06:00,100,search_and_rescue,172,unable_to_reach_first_attempt,true
CASE-0001352,CUST-003479,SIG-0003479,extreme_heat,2025-03-13T11:44:00-06:00,42,EMT,133,transported_to_shelter,true
CASE-0001353,CUST-002313,SIG-0002313,winter_storm,2025-02-02T15:58:00-06:00,95,physician,12,transported_to_shelter,true
CASE-0001354,CUST-002527,SIG-0002527,extreme_heat,2025-05-27T11:20:00-06:00,83,EMT,178,transported_to_hospital,true
CASE-0001355,CUST-001407,SIG-0001407,flood,2025-06-08T01:54:00-06:00,83,physician,135,transported_to_hospital,true
CASE-0001356,CUST-002388,SIG-0002388,extreme_heat,2025-11-03T16:58:00-06:00,100,nurse,127,unable_to_reach_first_attempt,true
CASE-0001357,CUST-004319,SIG-0004319,tornado_damage,2025-10-01T05:47:00-06:00,100,search_and_rescue,143,resolved_on_scene,true
CASE-0001358,CUST-000141,SIG-0000141,chemical_spill,2025-10-04T02:29:00-06:00,100,paramedic,42,transported_to_shelter,true
CASE-0001359,CUST-004619,SIG-0004619,chemical_spill,2025-01-27T18:57:00-06:00,92,firefighter,136,resolved_on_scene,true
CASE-0001360,CUST-001516,SIG-0001516,flood,2025-04-22T14:29:00-06:00,70,search_and_rescue,19,transported_to_shelter,false
CASE-0001361,CUST-000067,SIG-0000067,power_outage,2025-06-09T08:41:00-06:00,45,nurse,21,resolved_on_scene,false
CASE-0001362,CUST-000766,SIG-0000766,tornado_damage,2025-11-18T15:55:00-06:00,81,search_and_rescue,91,transported_to_hospital,false
CASE-0001363,CUST-000666,SIG-0000666,tornado_damage,2025-11-27T22:11:00-06:00,100,evacuation_driver,99,transported_to_hospital,true
CASE-0001364,CUST-000162,SIG-0000162,winter_storm,2025-12-26T21:08:00-06:00,92,nurse,26,referred_to_social_services,true
CASE-0001365,CUST-003615,SIG-0003615,tornado_damage,2025-12-15T19:09:00-06:00,100,EMT,73,transported_to_shelter,true
CASE-0001366,CUST-004765,SIG-0004765,tornado_damage,2025-05-25T15:39:00-06:00,75,search_and_rescue,67,transported_to_hospital,false
CASE-0001367,CUST-003556,SIG-0003556,winter_storm,2025-08-25T15:20:00-06:00,86,mental_health_crisis,17,transported_to_shelter,true
CASE-0001368,CUST-002563,SIG-0002563,power_outage,2025-08-22T05:36:00-06:00,86,nurse,91,transported_to_shelter,true
CASE-0001369,CUST-000965,SIG-0000965,extreme_heat,2025-09-14T05:41:00-06:00,87,EMT,9,transported_to_hospital,true
CASE-0001370,CUST-000510,SIG-0000510,power_outage,2025-08-06T06:48:00-06:00,99,paramedic,97,unable_to_reach_first_attempt,true
CASE-0001371,CUST-001815,SIG-0001815,flood,2025-05-12T09:12:00-06:00,100,search_and_rescue,87,unable_to_reach_first_attempt,true
CASE-0001372,CUST-000072,SIG-0000072,tornado_damage,2025-03-05T21:50:00-06:00,100,search_and_rescue,67,unable_to_reach_first_attempt,true
CASE-0001373,CUST-000707,SIG-0000707,flood,2025-06-26T16:12:00-06:00,100,firefighter,87,transported_to_hospital,true
CASE-0001374,CUST-000624,SIG-0000624,wildfire_smoke,2025-07-28T03:47:00-06:00,86,mental_health_crisis,52,resolved_on_scene,true
CASE-0001375,CUST-002689,SIG-0002689,wildfire_smoke,2025-04-02T10:25:00-06:00,100,paramedic,52,unable_to_reach_first_attempt,true
CASE-0001376,CUST-002073,SIG-0002073,extreme_heat,2025-09-21T10:58:00-06:00,56,EMT,123,transported_to_shelter,false
CASE-0001377,CUST-003876,SIG-0003876,power_outage,2025-05-22T10:53:00-06:00,79,nurse,177,referred_to_social_services,true
CASE-0001378,CUST-003323,SIG-0003323,chemical_spill,2025-11-15T21:12:00-06:00,96,search_and_rescue,107,referred_to_social_services,true
CASE-0001379,CUST-003037,SIG-0003037,tornado_damage,2025-09-20T18:19:00-06:00,96,paramedic,93,resolved_on_scene,true
CASE-0001380,CUST-002423,SIG-0002423,winter_storm,2025-02-21T16:00:00-06:00,65,nurse,65,transported_to_hospital,false
CASE-0001381,CUST-003277,SIG-0003277,power_outage,2025-08-01T04:59:00-06:00,70,nurse,70,referred_to_social_services,true
CASE-0001382,CUST-001287,SIG-0001287,chemical_spill,2025-06-11T14:18:00-06:00,97,search_and_rescue,74,transported_to_hospital,true
CASE-0001383,CUST-000264,SIG-0000264,wildfire_smoke,2025-08-19T20:03:00-06:00,74,ASL_interpreter,76,transported_to_shelter,false
CASE-0001384,CUST-000302,SIG-0000302,tornado_damage,2025-10-13T07:12:00-06:00,59,evacuation_driver,162,transported_to_shelter,false
CASE-0001385,CUST-004365,SIG-0004365,chemical_spill,2025-07-25T17:24:00-06:00,54,firefighter,136,resolved_on_scene,true
CASE-0001386,CUST-004948,SIG-0004948,power_outage,2025-11-23T16:37:00-06:00,63,nurse,65,resolved_on_scene,false
CASE-0001387,CUST-002738,SIG-0002738,extreme_heat,2025-05-07T17:53:00-06:00,82,nurse,106,unable_to_reach_first_attempt,true
CASE-0001388,CUST-002073,SIG-0002073,chemical_spill,2025-07-03T20:16:00-06:00,73,firefighter,145,resolved_on_scene,true
CASE-0001389,CUST-002089,SIG-0002089,chemical_spill,2025-03-16T01:37:00-06:00,100,firefighter,42,transported_to_shelter,true
CASE-0001390,CUST-003248,SIG-0003248,wildfire_smoke,2025-03-18T10:23:00-06:00,91,EMT,94,transported_to_shelter,true
CASE-0001391,CUST-002274,SIG-0002274,extreme_heat,2025-01-10T08:25:00-06:00,74,nurse,65,transported_to_shelter,true
CASE-0001392,CUST-000647,SIG-0000647,wildfire_smoke,2025-04-17T19:42:00-06:00,54,mental_health_crisis,20,resolved_on_scene,false
CASE-0001393,CUST-003841,SIG-0003841,chemical_spill,2025-10-07T11:59:00-06:00,87,paramedic,132,transported_to_shelter,true
CASE-0001394,CUST-000900,SIG-0000900,wildfire_smoke,2025-10-18T11:47:00-06:00,70,mental_health_crisis,36,transported_to_shelter,false
CASE-0001395,CUST-003503,SIG-0003503,winter_storm,2025-05-15T19:27:00-06:00,100,nurse,125,unable_to_reach_first_attempt,true
CASE-0001396,CUST-003799,SIG-0003799,tornado_damage,2025-09-22T16:16:00-06:00,88,firefighter,131,resolved_on_scene,true
CASE-0001397,CUST-001836,SIG-0001836,extreme_heat,2025-12-16T13:29:00-06:00,80,nurse,70,referred_to_social_services,false
CASE-0001398,CUST-000922,SIG-0000922,winter_storm,2025-11-13T05:46:00-06:00,91,physician,48,unable_to_reach_first_attempt,true
CASE-0001399,CUST-004300,SIG-0004300,tornado_damage,2025-10-16T20:27:00-06:00,92,firefighter,20,referred_to_social_services,true
CASE-0001400,CUST-002837,SIG-0002837,flood,2025-02-25T10:14:00-06:00,91,search_and_rescue,118,transported_to_shelter,true
CASE-0001401,CUST-001556,SIG-0001556,chemical_spill,2025-09-21T12:53:00-06:00,85,paramedic,79,transported_to_shelter,true
CASE-0001402,CUST-004842,SIG-0004842,chemical_spill,2025-05-23T03:44:00-06:00,81,firefighter,75,resolved_on_scene,true
CASE-0001403,CUST-002000,SIG-0002000,wildfire_smoke,2025-12-12T18:34:00-06:00,100,nurse,41,transported_to_shelter,true
CASE-0001404,CUST-003154,SIG-0003154,chemical_spill,2025-06-14T13:09:00-06:00,66,paramedic,61,resolved_on_scene,false
CASE-0001405,CUST-002336,SIG-0002336,chemical_spill,2025-09-11T18:40:00-06:00,100,paramedic,101,resolved_on_scene,true
CASE-0001406,CUST-001236,SIG-0001236,flood,2025-05-01T17:49:00-06:00,100,firefighter,20,unable_to_reach_first_attempt,true
CASE-0001407,CUST-002610,SIG-0002610,flood,2025-06-02T13:25:00-06:00,87,search_and_rescue,49,transported_to_shelter,true
CASE-0001408,CUST-002525,SIG-0002525,power_outage,2025-10-12T15:29:00-06:00,86,paramedic,143,unable_to_reach_first_attempt,true
CASE-0001409,CUST-004393,SIG-0004393,chemical_spill,2025-06-13T00:23:00-06:00,82,paramedic,40,transported_to_shelter,true
CASE-0001410,CUST-001335,SIG-0001335,tornado_damage,2025-07-23T10:58:00-06:00,74,search_and_rescue,73,resolved_on_scene,false
CASE-0001411,CUST-001248,SIG-0001248,extreme_heat,2025-03-14T15:02:00-06:00,47,social_worker,10,transported_to_shelter,true
CASE-0001412,CUST-001122,SIG-0001122,tornado_damage,2025-06-02T15:47:00-06:00,88,search_and_rescue,136,resolved_on_scene,true
CASE-0001413,CUST-003454,SIG-0003454,power_outage,2025-06-17T08:11:00-06:00,100,utility_technician,64,transported_to_shelter,true
CASE-0001414,CUST-003825,SIG-0003825,tornado_damage,2025-05-18T02:32:00-06:00,100,firefighter,52,transported_to_hospital,true
CASE-0001415,CUST-000622,SIG-0000622,flood,2025-02-13T11:44:00-06:00,64,evacuation_driver,72,transported_to_shelter,false
CASE-0001416,CUST-003493,SIG-0003493,chemical_spill,2025-05-05T08:45:00-06:00,100,search_and_rescue,46,transported_to_shelter,true
CASE-0001417,CUST-000398,SIG-0000398,wildfire_smoke,2025-06-13T20:28:00-06:00,100,EMT,118,unable_to_reach_first_attempt,true
CASE-0001418,CUST-002185,SIG-0002185,tornado_damage,2025-02-06T09:46:00-06:00,90,search_and_rescue,172,resolved_on_scene,true
CASE-0001419,CUST-000586,SIG-0000586,extreme_heat,2025-05-14T20:21:00-06:00,100,nurse,172,transported_to_shelter,true
CASE-0001420,CUST-003978,SIG-0003978,flood,2025-03-26T12:58:00-06:00,94,evacuation_driver,134,transported_to_shelter,true
CASE-0001421,CUST-004613,SIG-0004613,wildfire_smoke,2025-08-06T19:05:00-06:00,97,EMT,164,resolved_on_scene,true
CASE-0001422,CUST-004179,SIG-0004179,extreme_heat,2025-10-18T22:30:00-06:00,39,EMT,69,unable_to_reach_first_attempt,false
CASE-0001423,CUST-003071,SIG-0003071,wildfire_smoke,2025-04-19T13:34:00-06:00,43,ASL_interpreter,76,transported_to_shelter,false
CASE-0001424,CUST-000296,SIG-0000296,flood,2025-06-05T01:58:00-06:00,100,search_and_rescue,120,referred_to_social_services,true
CASE-0001425,CUST-003003,SIG-0003003,chemical_spill,2025-11-23T17:07:00-06:00,88,firefighter,38,unable_to_reach_first_attempt,true
CASE-0001426,CUST-001036,SIG-0001036,wildfire_smoke,2025-08-04T10:27:00-06:00,100,EMT,158,transported_to_hospital,true
CASE-0001427,CUST-004492,SIG-0004492,flood,2025-02-01T15:15:00-06:00,100,firefighter,107,resolved_on_scene,true
CASE-0001428,CUST-004641,SIG-0004641,wildfire_smoke,2025-02-16T03:22:00-06:00,90,paramedic,16,referred_to_social_services,true
CASE-0001429,CUST-004190,SIG-0004190,flood,2025-03-15T12:51:00-06:00,89,physician,57,transported_to_hospital,true
CASE-0001430,CUST-001113,SIG-0001113,extreme_heat,2025-11-22T07:32:00-06:00,93,EMT,65,transported_to_shelter,true
CASE-0001431,CUST-001067,SIG-0001067,tornado_damage,2025-10-20T22:11:00-06:00,64,search_and_rescue,59,transported_to_shelter,false
CASE-0001432,CUST-001218,SIG-0001218,extreme_heat,2025-03-24T02:54:00-06:00,96,paramedic,154,unable_to_reach_first_attempt,true
CASE-0001433,CUST-003239,SIG-0003239,wildfire_smoke,2025-02-27T13:57:00-06:00,96,ASL_interpreter,163,resolved_on_scene,true
CASE-0001434,CUST-003746,SIG-0003746,flood,2025-07-18T10:21:00-06:00,72,paramedic,58,unable_to_reach_first_attempt,false
CASE-0001435,CUST-003517,SIG-0003517,extreme_heat,2025-09-23T09:24:00-06:00,62,paramedic,177,transported_to_hospital,false
CASE-0001436,CUST-000953,SIG-0000953,tornado_damage,2025-04-07T22:07:00-06:00,100,nurse,103,transported_to_shelter,true
CASE-0001437,CUST-003900,SIG-0003900,power_outage,2025-02-27T16:41:00-06:00,70,utility_technician,9,transported_to_hospital,true
CASE-0001438,CUST-003141,SIG-0003141,power_outage,2025-03-08T04:29:00-06:00,67,physician,89,transported_to_shelter,false
CASE-0001439,CUST-002700,SIG-0002700,chemical_spill,2025-04-02T15:54:00-06:00,99,paramedic,154,referred_to_social_services,true
CASE-0001440,CUST-002578,SIG-0002578,flood,2025-06-15T14:17:00-06:00,100,search_and_rescue,71,resolved_on_scene,true
CASE-0001441,CUST-003145,SIG-0003145,chemical_spill,2025-05-18T06:28:00-06:00,100,paramedic,160,referred_to_social_services,true
CASE-0001442,CUST-000899,SIG-0000899,power_outage,2025-04-15T15:55:00-06:00,76,paramedic,148,unable_to_reach_first_attempt,true
CASE-0001443,CUST-000183,SIG-0000183,flood,2025-04-14T15:42:00-06:00,55,physician,162,transported_to_shelter,false
CASE-0001444,CUST-002889,SIG-0002889,extreme_heat,2025-07-24T09:14:00-06:00,100,paramedic,127,transported_to_hospital,true
CASE-0001445,CUST-000309,SIG-0000309,winter_storm,2025-08-15T11:10:00-06:00,47,social_worker,86,unable_to_reach_first_attempt,false
CASE-0001446,CUST-001714,SIG-0001714,extreme_heat,2025-10-13T12:50:00-06:00,70,EMT,79,referred_to_social_services,true
CASE-0001447,CUST-004626,SIG-0004626,power_outage,2025-05-17T07:04:00-06:00,68,EMT,122,resolved_on_scene,true
CASE-0001448,CUST-004485,SIG-0004485,chemical_spill,2025-05-09T07:51:00-06:00,40,paramedic,110,resolved_on_scene,false
CASE-0001449,CUST-001077,SIG-0001077,flood,2025-03-22T16:32:00-06:00,81,firefighter,11,referred_to_social_services,false
CASE-0001450,CUST-002576,SIG-0002576,power_outage,2025-06-27T12:47:00-06:00,91,nurse,101,unable_to_reach_first_attempt,true
CASE-0001451,CUST-000253,SIG-0000253,chemical_spill,2025-05-25T08:13:00-06:00,100,firefighter,25,transported_to_hospital,true
CASE-0001452,CUST-003775,SIG-0003775,chemical_spill,2025-02-04T18:33:00-06:00,100,paramedic,65,transported_to_shelter,true
CASE-0001453,CUST-001421,SIG-0001421,tornado_damage,2025-01-11T01:29:00-06:00,76,search_and_rescue,131,transported_to_shelter,true
CASE-0001454,CUST-000951,SIG-0000951,winter_storm,2025-09-16T02:41:00-06:00,78,mental_health_crisis,76,transported_to_shelter,true
CASE-0001455,CUST-000690,SIG-0000690,wildfire_smoke,2025-03-02T08:42:00-06:00,76,nurse,127,unable_to_reach_first_attempt,true
CASE-0001456,CUST-004845,SIG-0004845,extreme_heat,2025-03-23T02:33:00-06:00,100,nurse,124,referred_to_social_services,true
CASE-0001457,CUST-002898,SIG-0002898,winter_storm,2025-11-19T14:03:00-06:00,45,EMT,19,resolved_on_scene,false
CASE-0001458,CUST-004544,SIG-0004544,tornado_damage,2025-06-24T05:20:00-06:00,97,evacuation_driver,100,transported_to_shelter,true
CASE-0001459,CUST-002109,SIG-0002109,wildfire_smoke,2025-07-09T18:08:00-06:00,76,EMT,44,unable_to_reach_first_attempt,true
CASE-0001460,CUST-003601,SIG-0003601,flood,2025-02-08T04:23:00-06:00,88,evacuation_driver,74,unable_to_reach_first_attempt,true
CASE-0001461,CUST-003949,SIG-0003949,wildfire_smoke,2025-11-15T13:52:00-06:00,76,paramedic,179,resolved_on_scene,true
CASE-0001462,CUST-000347,SIG-0000347,tornado_damage,2025-10-15T08:04:00-06:00,94,evacuation_driver,172,unable_to_reach_first_attempt,true
CASE-0001463,CUST-000629,SIG-0000629,winter_storm,2025-11-11T07:58:00-06:00,91,ASL_interpreter,51,unable_to_reach_first_attempt,true
CASE-0001464,CUST-002734,SIG-0002734,power_outage,2025-03-10T04:44:00-06:00,84,utility_technician,111,referred_to_social_services,true
CASE-0001465,CUST-002724,SIG-0002724,tornado_damage,2025-03-08T07:35:00-06:00,96,paramedic,101,transported_to_shelter,true
CASE-0001466,CUST-002994,SIG-0002994,winter_storm,2025-10-26T10:33:00-06:00,100,paramedic,74,resolved_on_scene,true
CASE-0001467,CUST-001106,SIG-0001106,flood,2025-08-08T08:38:00-06:00,100,evacuation_driver,8,resolved_on_scene,true
CASE-0001468,CUST-002112,SIG-0002112,tornado_damage,2025-03-04T05:25:00-06:00,81,firefighter,67,resolved_on_scene,false
CASE-0001469,CUST-003155,SIG-0003155,power_outage,2025-10-20T21:08:00-06:00,100,utility_technician,123,unable_to_reach_first_attempt,true
CASE-0001470,CUST-003234,SIG-0003234,flood,2025-09-02T13:46:00-06:00,86,firefighter,25,resolved_on_scene,true
CASE-0001471,CUST-004942,SIG-0004942,wildfire_smoke,2025-11-15T21:05:00-06:00,92,paramedic,105,transported_to_shelter,true
CASE-0001472,CUST-000264,SIG-0000264,power_outage,2025-07-21T07:27:00-06:00,87,utility_technician,153,transported_to_hospital,true
CASE-0001473,CUST-000679,SIG-0000679,chemical_spill,2025-06-02T04:12:00-06:00,100,paramedic,125,resolved_on_scene,true
CASE-0001474,CUST-003419,SIG-0003419,tornado_damage,2025-06-26T14:48:00-06:00,100,firefighter,27,transported_to_shelter,true
CASE-0001475,CUST-003261,SIG-0003261,flood,2025-05-20T23:28:00-06:00,94,firefighter,63,resolved_on_scene,true
CASE-0001476,CUST-002285,SIG-0002285,flood,2025-12-03T03:13:00-06:00,95,firefighter,70,resolved_on_scene,true
CASE-0001477,CUST-002769,SIG-0002769,extreme_heat,2025-09-03T14:02:00-06:00,100,paramedic,85,referred_to_social_services,true
CASE-0001478,CUST-002425,SIG-0002425,flood,2025-06-15T08:04:00-06:00,82,paramedic,131,referred_to_social_services,true
CASE-0001479,CUST-000043,SIG-0000043,winter_storm,2025-10-16T13:39:00-06:00,100,paramedic,128,transported_to_shelter,true
CASE-0001480,CUST-000335,SIG-0000335,flood,2025-07-24T22:54:00-06:00,100,evacuation_driver,63,unable_to_reach_first_attempt,true
CASE-0001481,CUST-004633,SIG-0004633,winter_storm,2025-06-05T03:09:00-06:00,100,physician,26,resolved_on_scene,true
CASE-0001482,CUST-001897,SIG-0001897,flood,2025-05-10T08:31:00-06:00,96,firefighter,117,transported_to_hospital,true
CASE-0001483,CUST-002573,SIG-0002573,tornado_damage,2025-10-11T21:29:00-06:00,100,firefighter,30,transported_to_shelter,true
CASE-0001484,CUST-003097,SIG-0003097,power_outage,2025-08-07T03:06:00-06:00,100,nurse,140,unable_to_reach_first_attempt,true
CASE-0001485,CUST-002472,SIG-0002472,wildfire_smoke,2025-09-14T19:54:00-06:00,96,nurse,106,transported_to_shelter,true
CASE-0001486,CUST-002708,SIG-0002708,power_outage,2025-10-13T14:18:00-06:00,80,paramedic,104,resolved_on_scene,true
CASE-0001487,CUST-003541,SIG-0003541,flood,2025-06-15T08:46:00-06:00,100,evacuation_driver,80,resolved_on_scene,true
CASE-0001488,CUST-001412,SIG-0001412,flood,2025-02-10T13:49:00-06:00,100,EMT,68,transported_to_hospital,true
CASE-0001489,CUST-004328,SIG-0004328,extreme_heat,2025-04-01T12:05:00-06:00,90,nurse,38,transported_to_hospital,true
CASE-0001490,CUST-004576,SIG-0004576,flood,2025-04-15T03:08:00-06:00,100,search_and_rescue,45,unable_to_reach_first_attempt,true
CASE-0001491,CUST-001312,SIG-0001312,flood,2025-01-20T02:02:00-06:00,90,search_and_rescue,111,unable_to_reach_first_attempt,true
CASE-0001492,CUST-003097,SIG-0003097,tornado_damage,2025-04-10T02:24:00-06:00,94,search_and_rescue,165,resolved_on_scene,true
CASE-0001493,CUST-004989,SIG-0004989,tornado_damage,2025-09-23T15:10:00-06:00,59,firefighter,118,transported_to_hospital,false
CASE-0001494,CUST-002489,SIG-0002489,wildfire_smoke,2025-07-16T09:49:00-06:00,66,mental_health_crisis,146,transported_to_hospital,false
CASE-0001495,CUST-002971,SIG-0002971,power_outage,2025-03-10T21:34:00-06:00,69,paramedic,135,referred_to_social_services,true
CASE-0001496,CUST-001286,SIG-0001286,flood,2025-10-19T05:30:00-06:00,99,evacuation_driver,79,transported_to_shelter,true
CASE-0001497,CUST-002703,SIG-0002703,tornado_damage,2025-12-09T16:46:00-06:00,62,firefighter,158,transported_to_hospital,false
CASE-0001498,CUST-004889,SIG-0004889,flood,2025-10-22T08:12:00-06:00,47,evacuation_driver,63,referred_to_social_services,true
CASE-0001499,CUST-001014,SIG-0001014,power_outage,2025-05-03T22:38:00-06:00,57,EMT,102,transported_to_hospital,true
CASE-0001500,CUST-001798,SIG-0001798,extreme_heat,2025-06-22T09:46:00-06:00,100,paramedic,30,transported_to_shelter,true
CASE-0001501,CUST-001681,SIG-0001681,tornado_damage,2025-03-08T19:08:00-06:00,100,evacuation_driver,112,referred_to_social_services,true
CASE-0001502,CUST-004757,SIG-0004757,extreme_heat,2025-07-24T16:16:00-06:00,99,nurse,41,unable_to_reach_first_attempt,true
CASE-0001503,CUST-000775,SIG-0000775,power_outage,2025-09-22T07:29:00-06:00,100,utility_technician,95,transported_to_shelter,true
CASE-0001504,CUST-001364,SIG-0001364,winter_storm,2025-05-12T00:07:00-06:00,42,mental_health_crisis,75,referred_to_social_services,true
CASE-0001505,CUST-000610,SIG-0000610,extreme_heat,2025-07-23T13:13:00-06:00,100,nurse,18,transported_to_hospital,true
CASE-0001506,CUST-001045,SIG-0001045,winter_storm,2025-04-04T00:43:00-06:00,85,nurse,11,transported_to_hospital,true
CASE-0001507,CUST-001968,SIG-0001968,chemical_spill,2025-02-13T11:33:00-06:00,87,paramedic,32,unable_to_reach_first_attempt,true
CASE-0001508,CUST-004743,SIG-0004743,flood,2025-09-09T20:40:00-06:00,100,nurse,173,unable_to_reach_first_attempt,true
CASE-0001509,CUST-003678,SIG-0003678,tornado_damage,2025-06-27T21:37:00-06:00,90,search_and_rescue,118,transported_to_hospital,true
CASE-0001510,CUST-004107,SIG-0004107,flood,2025-02-16T01:47:00-06:00,100,search_and_rescue,83,transported_to_hospital,true
CASE-0001511,CUST-003942,SIG-0003942,winter_storm,2025-09-12T15:04:00-06:00,79,nurse,94,resolved_on_scene,false
CASE-0001512,CUST-000018,SIG-0000018,wildfire_smoke,2025-08-15T21:47:00-06:00,100,paramedic,47,resolved_on_scene,true
CASE-0001513,CUST-001841,SIG-0001841,power_outage,2025-11-06T23:49:00-06:00,93,paramedic,125,resolved_on_scene,true
CASE-0001514,CUST-000076,SIG-0000076,extreme_heat,2025-07-19T03:03:00-06:00,100,paramedic,107,referred_to_social_services,true
CASE-0001515,CUST-000507,SIG-0000507,winter_storm,2025-02-11T23:58:00-06:00,92,physician,165,transported_to_shelter,true
CASE-0001516,CUST-002640,SIG-0002640,extreme_heat,2025-02-15T16:39:00-06:00,91,ASL_interpreter,132,resolved_on_scene,true
CASE-0001517,CUST-003852,SIG-0003852,power_outage,2025-09-11T01:53:00-06:00,100,utility_technician,120,transported_to_hospital,true
CASE-0001518,CUST-000820,SIG-0000820,extreme_heat,2025-07-20T17:10:00-06:00,98,physician,15,transported_to_shelter,true
CASE-0001519,CUST-003910,SIG-0003910,extreme_heat,2025-07-27T00:41:00-06:00,100,physician,55,transported_to_hospital,true
CASE-0001520,CUST-000109,SIG-0000109,winter_storm,2025-02-15T06:09:00-06:00,77,nurse,180,transported_to_hospital,true
CASE-0001521,CUST-002542,SIG-0002542,chemical_spill,2025-03-12T20:04:00-06:00,45,search_and_rescue,126,unable_to_reach_first_attempt,false
CASE-0001522,CUST-002190,SIG-0002190,winter_storm,2025-10-25T01:38:00-06:00,100,physician,126,resolved_on_scene,true
CASE-0001523,CUST-002273,SIG-0002273,winter_storm,2025-09-25T22:53:00-06:00,100,nurse,149,transported_to_hospital,true
CASE-0001524,CUST-004062,SIG-0004062,winter_storm,2025-08-18T08:25:00-06:00,100,EMT,164,referred_to_social_services,true
